,Translated Tweets
205,"@PLDT_Cares @PLDTHome @pldt @PLDTGabayGuro  please respond to our internet problem. We have reported it yesterday until now no restoration. Today online classes start &amp; my niece will be absent. You all now that classes are online yet, internet problem still occur! #36930066"
206,"@PLDT_Cares @PLDTHome please respond to our internet problem. We have reported it 11am until now no restoration. Tomorrow online classes will start and my niece will be absent. You all now that classes are online yet, internet problem still occur! Report# 36930066"
207,"@PLDT_Cares @PLDTHome please respond to our internet problem. We have reported it yesterday until now no restoration. Today online classes start &amp; my niece will be absent. You all now that classes are online yet, internet problem still occur! #36930066 @pldt @PLDTGabayGuro"
208,"@PLDT_Cares @PLDTHome please respond to our internet problem. We have reported it yesterday until now no restoration. Today online classes start &amp; my niece will be absent. You all now that classes are online yet, internet problem still occur! #36930066 @pldt @PLDTGabayGuro"
209,"@PLDT_Cares @PLDTHome please respond to our internet problem. We have reported it yesterday until now no restoration. Today online classes start &amp; my niece will be absent. You all now that classes are online yet, internet problem still occur! #36930066 @pldt @PLDTGabayGuro"
210,"@PLDT_Cares @PLDTHome please respond to our internet problem. We have reported it yesterday until now no restoration. Today online classes start &amp; my niece will be absent. You all now that classes are online yet, internet problem still occur! #36930066 @pldt @PLDTGabayGuro"
211,"Super cold. It's the last day of vacation. Online classes start tomorrow. Lord, help me and my classmates have a great semester. #Fight2021"
212,"pls respond to our internet https://t.co/MfLG0izitl was reported 11am until now no https://t.co/Ywueb2IenO all know classes are online yet,internet problem still occur! my niece will be https://t.co/E0YjVjXpuS somthing about the report #36930066 @PLDT_Cares @PLDTHome @pldt"
213,@PLDTHome You all know that new normal is online classes. You need to expedite restoration of your service!I cannot accept 3-6 days repair.I cannot accept 3-6 days repair.Please do somthing about the report #36930066 @PLDT_Cares @PLDTHome @pldt
214,@PLDTHome I cannot accept 3-6 days repair.Please do somthing about the report #36930066 @PLDT_Cares @PLDTHome @pldt You all know that new normal is online classes. You need to expedite restoration of your service!
215,@PLDTHome Please do somthing about the report #36930066 @PLDT_Cares @PLDTHome @pldtYou all know that new normal is online classes. You need to expedite restoration of your service!I cannot accept 3-6 days repair.
216,"@PLDTHome please respond to our internet problem. We have reported it 11am until now no restoration. Tomorrow online classes will start and my niece will be absent. You all now that classes are online yet, internet problem still occur! Report# 36930066"
217,@PLDT_Cares @pldt You all know that new normal is online classes. You need to expedite restoration of your service!36930066 @pldt @PLDT_Cares @PLDTHomeI cannot accept 3-6 days https://t.co/z3v7TnmFMz my niece will be absemt for 3-6 days?
218,"pls respond to our internet https://t.co/MfLG0izitl was reported 11am until now no https://t.co/Ywueb2IenO all know classes are online yet,internet problem still occur! my niece will be https://t.co/E0YjVjXpuS somthing about the report #36930066 @PLDT_Cares @PLDTHome @pldt"
219,You all know that new normal is online classes. You need to expedite restoration of your service!36930066 @pldt @PLDT_Cares @PLDTHome @PLDTGabayGuro @PLDTEnt_Cares
220,You all know that new normal is online classes. You need to expedite restoration of your service!36930066 @pldt @PLDT_Cares @PLDTHome @PLDTGabayGuro
221,You all know that new normal is online classes. You need to expedite restoration of your service!36930066 @pldt @PLDT_Cares @PLDTHome
222,"pls respond to our internet https://t.co/MfLG0izitl was reported 11am until now no https://t.co/Ywueb2IenO all know classes are online yet,internet problem still occur! my niece will be https://t.co/E0YjVjXpuS somthing about the report #36930066 @PLDT_Cares @PLDTHome @pldt"
223,"pls respond to our internet https://t.co/MfLG0izitl was reported 11am until now no https://t.co/Ywueb2IenO all know classes are online yet,internet problem still occur! my niece will be https://t.co/E0YjVjXpuS somthing about the report #36930066 @PLDT_Cares @PLDTHome @pldt"
224,"@PLDT_Cares @PLDTHome please respond to our internet problem. We have reported it 11am until now no restoration. Tomorrow online classes will start and my niece will be absent. You all now that classes are online yet, internet problem still occur! Report# 36930066"
225,"@PLDT_Cares @PLDTHome please respond to our internet problem. We have reported it 11am until now no restoration. Tomorrow online classes will start and my niece will be absent. You all now that classes are online yet, internet problem still occur! Report# 36930066"
226,"@PLDTHome @PLDTHome please respond to our internet problem. We have reported it 11am until now no restoration. Tomorrow online classes will start and my niece will be absent. You all now that classes are online yet, internet problem still occur! Report# 36930066"
227,"@PLDTHome please respond to our internet problem. We have reported it 11am until now no restoration. Tomorrow online classes will start and my niece will be absent. You all now that classes are online yet, internet problem still occur! Report# 36930066"
228,"Do you believe in magic?
Watch this video to know about the Magic of Magnets..
https://t.co/vrHePSMLn9
#Magic #Video #peardeck #ContentWriting #Learn #study #OnlineClasses #YouTuber #Science #studytwt #doodly #k12 #STEMeducation"
229,@PLDT_Cares The same script over and over. We want faster actions. Online classes are already resuming and the only reliable internet connection here is your fibr connection.
230,@SKYserves This is my second tweet to you! Are you going to make me wait days or worst weeks before I get a response/reply from you regarding my internet speed? I need the 25 mbps internet speed that I'm paying for!! We use our internet connection for online classes https://t.co/h77P7kKMmU
231,"Truer words have never been spoken about school rules on the “professional” image of a student. Thank you, Sir! 👏🏽👏🏽👏🏽

Context: Up to this day, what is acceptable look (even in online classes) remains to be debated on in every Student Handbook revision meeting."
232,Online classes start soon
233,"Amidst the pandemic, education must continue.The City Government of Valenzuela officially turn over 24000 gadgets/smartfones to our learners that they will use to view the FB live streaming and online classes.Salute to the LGU headed by our City Mayor Rex Gatchalian. https://t.co/5HSpw3hrbG"
234,goodnight! i need to wake up early for online classes 😑 wish me luck?
235,"i’ll be back to online classes tomorrow so expect that i’ll be kinda inactive 🥺 i’ll miss you besties but i’ll still try my best to catch up and interact. also, don’t unfollow me!! love y’all 💗"
236,"Classes resume on January 4, 2021. 

WELCOME BACK, NCLCians. The holiday break is over, and we are all excited to meet you (online) on Monday. See you!

#CommittedToLearnersSuccess
#NCLCExcel https://t.co/iMTUbO6QmU"
237,"@itsETK My 5 year old granddaughter who is now in Kindergarten has online classes every Tuesdays and Wednesdays.

They are learning about vowels and consonants, numbers  1-100.

I taught her email etiquette and how to write proper emails from the subject to the salutation to the content"
238,"My son, who is now in Grade 5, has online classes every Wednesday. They are being taught email etiquette and how to write proper emails — from the subject to the salutation to the content (no slang; no texting language).

My heart skipped a beat. 🥹

Okay na, sulit na tuition. 🤣"
239,"At the beginning of the year 2023, budget cuts greeted the State Colleges and Universities despite the mandate of CHED (Memorandum Order No. 16) to no longer allow 100% online classes which is contrary and without recognition of material conditions and 3/n https://t.co/o0E0jnJZuJ"
240,"🤩 this is the last quiz, I will miss it every time during online classes"
